Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Fuzzy chance of admit,Difference
119,296,99,2,3.0,3.5,7.28,0,0.47,0.48,0.010000000000000009
120,327,104,5,3.0,3.5,8.84,1,0.71,0.9,0.19000000000000006
121,335,117,5,5.0,5.0,9.56,1,0.94,0.91,0.029999999999999916
122,334,119,5,4.5,4.5,9.48,1,0.94,0.91,0.029999999999999916
123,310,106,4,1.5,2.5,8.36,0,0.57,0.51,0.05999999999999994
124,308,108,3,3.5,3.5,8.22,0,0.61,0.51,0.09999999999999998
125,301,106,4,2.5,3.0,8.47,0,0.57,0.52,0.04999999999999993
126,300,100,3,2.0,3.0,8.66,1,0.64,0.59,0.050000000000000044
127,323,113,3,4.0,3.0,9.32,1,0.85,0.9,0.050000000000000044
128,319,112,3,2.5,2.0,8.71,1,0.78,0.59,0.19000000000000006
129,326,112,3,3.5,3.0,9.1,1,0.84,0.9,0.06000000000000005
130,333,118,5,5.0,5.0,9.35,1,0.92,0.9,0.020000000000000018
131,339,114,5,4.0,4.5,9.76,1,0.96,0.91,0.04999999999999993
132,303,105,5,5.0,4.5,8.65,0,0.77,0.52,0.25
133,309,105,5,3.5,3.5,8.56,0,0.71,0.52,0.18999999999999995
134,323,112,5,4.0,4.5,8.78,0,0.79,0.53,0.26
135,333,113,5,4.0,4.0,9.28,1,0.89,0.9,0.010000000000000009
136,314,109,4,3.5,4.0,8.77,1,0.82,0.9,0.08000000000000007
137,312,103,3,5.0,4.0,8.45,0,0.76,0.52,0.24
138,316,100,2,1.5,3.0,8.16,1,0.71,0.52,0.18999999999999995
139,326,116,2,4.5,3.0,9.08,1,0.8,0.9,0.09999999999999998
140,318,109,1,3.5,3.5,9.12,0,0.78,0.54,0.24
141,329,110,2,4.0,3.0,9.15,1,0.84,0.9,0.06000000000000005
142,332,118,2,4.5,3.5,9.36,1,0.9,0.9,0.0
143,331,115,5,4.0,3.5,9.44,1,0.92,0.91,0.010000000000000009
144,340,120,4,4.5,4.0,9.92,1,0.97,0.91,0.05999999999999994
145,325,112,2,3.0,3.5,8.96,1,0.8,0.9,0.09999999999999998
146,320,113,2,2.0,2.5,8.64,1,0.81,0.59,0.22000000000000008
147,315,105,3,2.0,2.5,8.48,0,0.75,0.52,0.22999999999999998
148,326,114,3,3.0,3.0,9.11,1,0.83,0.9,0.07000000000000006
149,339,116,4,4.0,3.5,9.8,1,0.96,0.91,0.04999999999999993
150,311,106,2,3.5,3.0,8.26,1,0.79,0.89,0.09999999999999998
151,334,114,4,4.0,4.0,9.43,1,0.93,0.91,0.020000000000000018
152,332,116,5,5.0,5.0,9.28,1,0.94,0.9,0.039999999999999925
153,321,112,5,5.0,5.0,9.06,1,0.86,0.9,0.040000000000000036
154,324,105,3,3.0,4.0,8.75,0,0.79,0.53,0.26
155,326,108,3,3.0,3.5,8.89,0,0.8,0.53,0.27
156,312,109,3,3.0,3.0,8.69,0,0.77,0.53,0.24
157,315,105,3,2.0,2.5,8.34,0,0.7,0.51,0.18999999999999995
158,309,104,2,2.0,2.5,8.26,0,0.65,0.51,0.14
159,306,106,2,2.0,2.5,8.14,0,0.61,0.51,0.09999999999999998
160,297,100,1,1.5,2.0,7.9,0,0.52,0.54,0.020000000000000018
161,315,103,1,1.5,2.0,7.86,0,0.57,0.54,0.029999999999999916
162,298,99,1,1.5,3.0,7.46,0,0.53,0.54,0.010000000000000009
163,318,109,3,3.0,3.0,8.5,0,0.67,0.52,0.15000000000000002
164,317,105,3,3.5,3.0,8.56,0,0.68,0.52,0.16000000000000003
165,329,111,4,4.5,4.0,9.01,1,0.81,0.9,0.08999999999999997
166,322,110,5,4.5,4.0,8.97,0,0.78,0.53,0.25
167,302,102,3,3.5,5.0,8.33,0,0.65,0.51,0.14
168,313,102,3,2.0,3.0,8.27,0,0.64,0.51,0.13
169,293,97,2,2.0,4.0,7.8,1,0.64,0.56,0.07999999999999996
170,311,99,2,2.5,3.0,7.98,0,0.65,0.5,0.15000000000000002
171,312,101,2,2.5,3.5,8.04,1,0.68,0.66,0.020000000000000018
172,334,117,5,4.0,4.5,9.07,1,0.89,0.9,0.010000000000000009
173,322,110,4,4.0,5.0,9.13,1,0.86,0.9,0.040000000000000036
174,323,113,4,4.0,4.5,9.23,1,0.89,0.9,0.010000000000000009
175,321,111,4,4.0,4.0,8.97,1,0.87,0.9,0.030000000000000027
176,320,111,4,4.5,3.5,8.87,1,0.85,0.9,0.050000000000000044
177,329,119,4,4.5,4.5,9.16,1,0.9,0.9,0.0
178,319,110,3,3.5,3.5,9.04,0,0.82,0.53,0.2899999999999999
179,309,108,3,2.5,3.0,8.12,0,0.72,0.51,0.20999999999999996
180,307,102,3,3.0,3.0,8.27,0,0.73,0.51,0.21999999999999997
181,300,104,3,3.5,3.0,8.16,0,0.71,0.51,0.19999999999999996
182,305,107,2,2.5,2.5,8.42,0,0.71,0.52,0.18999999999999995
183,299,100,2,3.0,3.5,7.88,0,0.68,0.5,0.18000000000000005
184,314,110,3,4.0,4.0,8.8,0,0.75,0.53,0.21999999999999997
185,316,106,2,2.5,4.0,8.32,0,0.72,0.51,0.20999999999999996
186,327,113,4,4.5,4.5,9.11,1,0.89,0.9,0.010000000000000009
187,317,107,3,3.5,3.0,8.68,1,0.84,0.9,0.06000000000000005
188,335,118,5,4.5,3.5,9.44,1,0.93,0.91,0.020000000000000018
189,331,115,5,4.5,3.5,9.36,1,0.93,0.9,0.030000000000000027
190,324,112,5,5.0,5.0,9.08,1,0.88,0.9,0.020000000000000018
191,324,111,5,4.5,4.0,9.16,1,0.9,0.9,0.0
192,323,110,5,4.0,5.0,8.98,1,0.87,0.9,0.030000000000000027
193,322,114,5,4.5,4.0,8.94,1,0.86,0.9,0.040000000000000036
194,336,118,5,4.5,5.0,9.53,1,0.94,0.91,0.029999999999999916
195,316,109,3,3.5,3.0,8.76,0,0.77,0.53,0.24
196,307,107,2,3.0,3.5,8.52,1,0.78,0.89,0.10999999999999999
197,306,105,2,3.0,2.5,8.26,0,0.73,0.51,0.21999999999999997
198,310,106,2,3.5,2.5,8.33,0,0.73,0.51,0.21999999999999997
199,311,104,3,4.5,4.5,8.43,0,0.7,0.52,0.17999999999999994
200,313,107,3,4.0,4.5,8.69,0,0.72,0.53,0.18999999999999995
201,317,103,3,2.5,3.0,8.54,1,0.73,0.68,0.04999999999999993
202,315,110,2,3.5,3.0,8.46,1,0.72,0.89,0.17000000000000004
203,340,120,5,4.5,4.5,9.91,1,0.97,0.91,0.05999999999999994
204,334,120,5,4.0,5.0,9.87,1,0.97,0.91,0.05999999999999994
205,298,105,3,3.5,4.0,8.54,0,0.69,0.52,0.16999999999999993
206,295,99,2,2.5,3.0,7.65,0,0.57,0.48,0.08999999999999997
207,315,99,2,3.5,3.0,7.89,0,0.63,0.5,0.13
208,310,102,3,3.5,4.0,8.02,1,0.66,0.89,0.22999999999999998
209,305,106,2,3.0,3.0,8.16,0,0.64,0.51,0.13
210,301,104,3,3.5,4.0,8.12,1,0.68,0.89,0.20999999999999996
211,325,108,4,4.5,4.0,9.06,1,0.79,0.9,0.10999999999999999
212,328,110,4,5.0,4.0,9.14,1,0.82,0.9,0.08000000000000007
213,338,120,4,5.0,5.0,9.66,1,0.95,0.91,0.039999999999999925
214,333,119,5,5.0,4.5,9.78,1,0.96,0.91,0.04999999999999993
215,331,117,4,4.5,5.0,9.42,1,0.94,0.91,0.029999999999999916
216,330,116,5,5.0,4.5,9.36,1,0.93,0.9,0.030000000000000027
217,322,112,4,4.5,4.5,9.26,1,0.91,0.9,0.010000000000000009
218,321,109,4,4.0,4.0,9.13,1,0.85,0.9,0.050000000000000044
219,324,110,4,3.0,3.5,8.97,1,0.84,0.9,0.06000000000000005
220,312,104,3,3.5,3.5,8.42,0,0.74,0.52,0.21999999999999997
221,313,103,3,4.0,4.0,8.75,0,0.76,0.53,0.22999999999999998
222,316,110,3,3.5,4.0,8.56,0,0.75,0.52,0.22999999999999998
223,324,113,4,4.5,4.0,8.79,0,0.76,0.53,0.22999999999999998
224,308,109,2,3.0,4.0,8.45,0,0.71,0.52,0.18999999999999995
225,305,105,2,3.0,2.0,8.23,0,0.67,0.51,0.16000000000000003
226,296,99,2,2.5,2.5,8.03,0,0.61,0.5,0.10999999999999999
227,306,110,2,3.5,4.0,8.45,0,0.63,0.52,0.10999999999999999
228,312,110,2,3.5,3.0,8.53,0,0.64,0.52,0.12
229,318,112,3,4.0,3.5,8.67,0,0.71,0.52,0.18999999999999995
230,324,111,4,3.0,3.0,9.01,1,0.82,0.9,0.08000000000000007
231,313,104,3,4.0,4.5,8.65,0,0.73,0.52,0.20999999999999996
232,319,106,3,3.5,2.5,8.33,1,0.74,0.68,0.05999999999999994
233,312,107,2,2.5,3.5,8.27,0,0.69,0.51,0.17999999999999994
234,304,100,2,2.5,3.5,8.07,0,0.64,0.5,0.14
235,330,113,5,5.0,4.0,9.31,1,0.91,0.9,0.010000000000000009
236,326,111,5,4.5,4.0,9.23,1,0.88,0.9,0.020000000000000018
237,325,112,4,4.0,4.5,9.17,1,0.85,0.9,0.050000000000000044
238,329,114,5,4.5,5.0,9.19,1,0.86,0.9,0.040000000000000036
239,310,104,3,2.0,3.5,8.37,0,0.7,0.52,0.17999999999999994
240,299,100,1,1.5,2.0,7.89,0,0.59,0.54,0.04999999999999993
241,296,101,1,2.5,3.0,7.68,0,0.6,0.54,0.05999999999999994
242,317,103,2,2.5,2.0,8.15,0,0.65,0.51,0.14
243,324,115,3,3.5,3.0,8.76,1,0.7,0.9,0.20000000000000007
244,325,114,3,3.5,3.0,9.04,1,0.76,0.9,0.14
245,314,107,2,2.5,4.0,8.56,0,0.63,0.52,0.10999999999999999
246,328,110,4,4.0,2.5,9.02,1,0.81,0.69,0.1200000000000001
247,316,105,3,3.0,3.5,8.73,0,0.72,0.53,0.18999999999999995
248,311,104,2,2.5,3.5,8.48,0,0.71,0.52,0.18999999999999995
249,324,110,3,3.5,4.0,8.87,1,0.8,0.9,0.09999999999999998
250,321,111,3,3.5,4.0,8.83,1,0.77,0.9,0.13
251,320,104,3,3.0,2.5,8.57,1,0.74,0.68,0.05999999999999994
252,316,99,2,2.5,3.0,9.0,0,0.7,0.53,0.16999999999999993
253,318,100,2,2.5,3.5,8.54,1,0.71,0.68,0.029999999999999916
254,335,115,4,4.5,4.5,9.68,1,0.93,0.91,0.020000000000000018
255,321,114,4,4.0,5.0,9.12,0,0.85,0.54,0.30999999999999994
256,307,110,4,4.0,4.5,8.37,0,0.79,0.52,0.27
257,309,99,3,4.0,4.0,8.56,0,0.76,0.52,0.24
258,324,100,3,4.0,5.0,8.64,1,0.78,0.9,0.12
259,326,102,4,5.0,5.0,8.76,1,0.77,0.9,0.13
260,331,119,4,5.0,4.5,9.34,1,0.9,0.9,0.0
261,327,108,5,5.0,3.5,9.13,1,0.87,0.9,0.030000000000000027
262,312,104,3,3.5,4.0,8.09,0,0.71,0.5,0.20999999999999996
263,308,103,2,2.5,4.0,8.36,1,0.7,0.68,0.019999999999999907
264,324,111,3,2.5,1.5,8.79,1,0.7,0.54,0.15999999999999992
265,325,110,2,3.0,2.5,8.76,1,0.75,0.69,0.06000000000000005
266,313,102,3,2.5,2.5,8.68,0,0.71,0.52,0.18999999999999995
267,312,105,2,2.0,2.5,8.45,0,0.72,0.52,0.19999999999999996
268,314,107,3,3.0,3.5,8.17,1,0.73,0.89,0.16000000000000003
269,327,113,4,4.5,5.0,9.14,0,0.83,0.54,0.2899999999999999
270,308,108,4,4.5,5.0,8.34,0,0.77,0.51,0.26
271,306,105,2,2.5,3.0,8.22,1,0.72,0.67,0.04999999999999993
272,299,96,2,1.5,2.0,7.86,0,0.54,0.49,0.050000000000000044
273,294,95,1,1.5,1.5,7.64,0,0.49,0.54,0.050000000000000044
274,312,99,1,1.0,1.5,8.01,1,0.52,0.54,0.020000000000000018
275,315,100,1,2.0,2.5,7.95,0,0.58,0.54,0.039999999999999925
276,322,110,3,3.5,3.0,8.96,1,0.78,0.9,0.12
277,329,113,5,5.0,4.5,9.45,1,0.89,0.91,0.020000000000000018
278,320,101,2,2.5,3.0,8.62,0,0.7,0.52,0.17999999999999994
279,308,103,2,3.0,3.5,8.49,0,0.66,0.52,0.14
280,304,102,2,3.0,4.0,8.73,0,0.67,0.53,0.14
281,311,102,3,4.5,4.0,8.64,1,0.68,0.9,0.21999999999999997
282,317,110,3,4.0,4.5,9.11,1,0.8,0.9,0.09999999999999998
283,312,106,3,4.0,3.5,8.79,1,0.81,0.9,0.08999999999999997
284,321,111,3,2.5,3.0,8.9,1,0.8,0.69,0.1100000000000001
285,340,112,4,5.0,4.5,9.66,1,0.94,0.91,0.029999999999999916
286,331,116,5,4.0,4.0,9.26,1,0.93,0.9,0.030000000000000027
287,336,118,5,4.5,4.0,9.19,1,0.92,0.9,0.020000000000000018
288,324,114,5,5.0,4.5,9.08,1,0.89,0.9,0.010000000000000009
289,314,104,4,5.0,5.0,9.02,0,0.82,0.53,0.2899999999999999
290,313,109,3,4.0,3.5,9.0,0,0.79,0.53,0.26
291,307,105,2,2.5,3.0,7.65,0,0.58,0.48,0.09999999999999998
292,300,102,2,1.5,2.0,7.87,0,0.56,0.5,0.06000000000000005
293,302,99,2,1.0,2.0,7.97,0,0.56,0.5,0.06000000000000005
294,312,98,1,3.5,3.0,8.18,1,0.64,0.91,0.27
295,316,101,2,2.5,2.0,8.32,1,0.61,0.58,0.030000000000000027
296,317,100,2,3.0,2.5,8.57,0,0.68,0.52,0.16000000000000003
297,310,107,3,3.5,3.5,8.67,0,0.76,0.52,0.24
298,320,120,3,4.0,4.5,9.11,0,0.86,0.54,0.31999999999999995
299,330,114,3,4.5,4.5,9.24,1,0.9,0.9,0.0
300,305,112,3,3.0,3.5,8.65,0,0.71,0.52,0.18999999999999995
301,309,106,2,2.5,2.5,8.0,0,0.62,0.5,0.12
302,319,108,2,2.5,3.0,8.76,0,0.66,0.53,0.13
303,322,105,2,3.0,3.0,8.45,1,0.65,0.89,0.24
304,323,107,3,3.5,3.5,8.55,1,0.73,0.9,0.17000000000000004
305,313,106,2,2.5,2.0,8.43,0,0.62,0.52,0.09999999999999998
306,321,109,3,3.5,3.5,8.8,1,0.74,0.9,0.16000000000000003
307,323,110,3,4.0,3.5,9.1,1,0.79,0.9,0.10999999999999999
308,325,112,4,4.0,4.0,9.0,1,0.8,0.9,0.09999999999999998
309,312,108,3,3.5,3.0,8.53,0,0.69,0.52,0.16999999999999993
310,308,110,4,3.5,3.0,8.6,0,0.7,0.52,0.17999999999999994
311,320,104,3,3.0,3.5,8.74,1,0.76,0.9,0.14
312,328,108,4,4.5,4.0,9.18,1,0.84,0.9,0.06000000000000005
313,311,107,4,4.5,4.5,9.0,1,0.78,0.9,0.12
314,301,100,3,3.5,3.0,8.04,0,0.67,0.5,0.17000000000000004
315,305,105,2,3.0,4.0,8.13,0,0.66,0.51,0.15000000000000002
316,308,104,2,2.5,3.0,8.07,0,0.65,0.5,0.15000000000000002
317,298,101,2,1.5,2.0,7.86,0,0.54,0.49,0.050000000000000044
318,300,99,1,1.0,2.5,8.01,0,0.58,0.54,0.039999999999999925
319,324,111,3,2.5,2.0,8.8,1,0.79,0.59,0.20000000000000007
320,327,113,4,3.5,3.0,8.69,1,0.8,0.9,0.09999999999999998
321,317,106,3,4.0,3.5,8.5,1,0.75,0.89,0.14
322,323,104,3,4.0,4.0,8.44,1,0.73,0.89,0.16000000000000003
323,314,107,2,2.5,4.0,8.27,0,0.72,0.51,0.20999999999999996
324,305,102,2,2.0,2.5,8.18,0,0.62,0.51,0.10999999999999999
325,315,104,3,3.0,2.5,8.33,0,0.67,0.51,0.16000000000000003
326,326,116,3,3.5,4.0,9.14,1,0.81,0.9,0.08999999999999997
327,299,100,3,2.0,2.0,8.02,0,0.63,0.5,0.13
328,295,101,2,2.5,2.0,7.86,0,0.69,0.49,0.19999999999999996
329,324,112,4,4.0,3.5,8.77,1,0.8,0.9,0.09999999999999998
330,297,96,2,2.5,1.5,7.89,0,0.43,0.5,0.07
331,327,113,3,3.5,3.0,8.66,1,0.8,0.9,0.09999999999999998
332,311,105,2,3.0,2.0,8.12,1,0.73,0.57,0.16000000000000003
333,308,106,3,3.5,2.5,8.21,1,0.75,0.67,0.07999999999999996
334,319,108,3,3.0,3.5,8.54,1,0.71,0.9,0.19000000000000006
335,312,107,4,4.5,4.0,8.65,1,0.73,0.9,0.17000000000000004
336,325,111,4,4.0,4.5,9.11,1,0.83,0.9,0.07000000000000006
337,319,110,3,3.0,2.5,8.79,0,0.72,0.53,0.18999999999999995
338,332,118,5,5.0,5.0,9.47,1,0.94,0.91,0.029999999999999916
339,323,108,5,4.0,4.0,8.74,1,0.81,0.9,0.08999999999999997
340,324,107,5,3.5,4.0,8.66,1,0.81,0.9,0.08999999999999997
341,312,107,3,3.0,3.0,8.46,1,0.75,0.89,0.14
342,326,110,3,3.5,3.5,8.76,1,0.79,0.9,0.10999999999999999
343,308,106,3,3.0,3.0,8.24,0,0.58,0.51,0.06999999999999995
344,305,103,2,2.5,3.5,8.13,0,0.59,0.51,0.07999999999999996
345,295,96,2,1.5,2.0,7.34,0,0.47,0.48,0.010000000000000009
346,316,98,1,1.5,2.0,7.43,0,0.49,0.54,0.050000000000000044
347,304,97,2,1.5,2.0,7.64,0,0.47,0.48,0.010000000000000009
348,299,94,1,1.0,1.0,7.34,0,0.42,0.54,0.12000000000000005
349,302,99,1,2.0,2.0,7.25,0,0.57,0.54,0.029999999999999916
350,313,101,3,2.5,3.0,8.04,0,0.62,0.5,0.12
351,318,107,3,3.0,3.5,8.27,1,0.74,0.89,0.15000000000000002
352,325,110,4,3.5,4.0,8.67,1,0.73,0.9,0.17000000000000004
353,303,100,2,3.0,3.5,8.06,1,0.64,0.89,0.25
354,300,102,3,3.5,2.5,8.17,0,0.63,0.51,0.12
355,297,98,2,2.5,3.0,7.67,0,0.59,0.49,0.09999999999999998
356,317,106,2,2.0,3.5,8.12,0,0.73,0.51,0.21999999999999997
357,327,109,3,3.5,4.0,8.77,1,0.79,0.9,0.10999999999999999
358,301,104,2,3.5,3.5,7.89,1,0.68,0.88,0.19999999999999996
359,314,105,2,2.5,2.0,7.64,0,0.7,0.48,0.21999999999999997
360,321,107,2,2.0,1.5,8.44,0,0.81,0.52,0.29000000000000004
361,322,110,3,4.0,5.0,8.64,1,0.85,0.9,0.050000000000000044
362,334,116,4,4.0,3.5,9.54,1,0.93,0.91,0.020000000000000018
363,338,115,5,4.5,5.0,9.23,1,0.91,0.9,0.010000000000000009
364,306,103,2,2.5,3.0,8.36,0,0.69,0.51,0.17999999999999994
365,313,102,3,3.5,4.0,8.9,1,0.77,0.9,0.13
366,330,114,4,4.5,3.0,9.17,1,0.86,0.9,0.040000000000000036
