Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit,Fuzzy chance of admit,Difference
125,301,106,4,2.5,3.0,8.47,0,0.57,0.71,0.14
126,300,100,3,2.0,3.0,8.66,1,0.64,0.63,0.010000000000000009
127,323,113,3,4.0,3.0,9.32,1,0.85,0.89,0.040000000000000036
128,319,112,3,2.5,2.0,8.71,1,0.78,0.63,0.15000000000000002
129,326,112,3,3.5,3.0,9.1,1,0.84,0.89,0.050000000000000044
130,333,118,5,5.0,5.0,9.35,1,0.92,0.89,0.030000000000000027
131,339,114,5,4.0,4.5,9.76,1,0.96,0.89,0.06999999999999995
132,303,105,5,5.0,4.5,8.65,0,0.77,0.88,0.10999999999999999
133,309,105,5,3.5,3.5,8.56,0,0.71,0.88,0.17000000000000004
134,323,112,5,4.0,4.5,8.78,0,0.79,0.88,0.08999999999999997
135,333,113,5,4.0,4.0,9.28,1,0.89,0.89,0.0
136,314,109,4,3.5,4.0,8.77,1,0.82,0.88,0.06000000000000005
137,312,103,3,5.0,4.0,8.45,0,0.76,0.88,0.12
138,316,100,2,1.5,3.0,8.16,1,0.71,0.55,0.15999999999999992
139,326,116,2,4.5,3.0,9.08,1,0.8,0.89,0.08999999999999997
140,318,109,1,3.5,3.5,9.12,0,0.78,0.89,0.10999999999999999
141,329,110,2,4.0,3.0,9.15,1,0.84,0.89,0.050000000000000044
142,332,118,2,4.5,3.5,9.36,1,0.9,0.89,0.010000000000000009
143,331,115,5,4.0,3.5,9.44,1,0.92,0.89,0.030000000000000027
144,340,120,4,4.5,4.0,9.92,1,0.97,0.89,0.07999999999999996
145,325,112,2,3.0,3.5,8.96,1,0.8,0.89,0.08999999999999997
146,320,113,2,2.0,2.5,8.64,1,0.81,0.63,0.18000000000000005
147,315,105,3,2.0,2.5,8.48,0,0.75,0.62,0.13
148,326,114,3,3.0,3.0,9.11,1,0.83,0.89,0.06000000000000005
149,339,116,4,4.0,3.5,9.8,1,0.96,0.89,0.06999999999999995
150,311,106,2,3.5,3.0,8.26,1,0.79,0.87,0.07999999999999996
151,334,114,4,4.0,4.0,9.43,1,0.93,0.89,0.040000000000000036
152,332,116,5,5.0,5.0,9.28,1,0.94,0.89,0.04999999999999993
153,321,112,5,5.0,5.0,9.06,1,0.86,0.89,0.030000000000000027
154,324,105,3,3.0,4.0,8.75,0,0.79,0.88,0.08999999999999997
155,326,108,3,3.0,3.5,8.89,0,0.8,0.89,0.08999999999999997
156,312,109,3,3.0,3.0,8.69,0,0.77,0.88,0.10999999999999999
157,315,105,3,2.0,2.5,8.34,0,0.7,0.61,0.08999999999999997
158,309,104,2,2.0,2.5,8.26,0,0.65,0.61,0.040000000000000036
159,306,106,2,2.0,2.5,8.14,0,0.61,0.6,0.010000000000000009
160,297,100,1,1.5,2.0,7.9,0,0.52,0.6,0.07999999999999996
161,315,103,1,1.5,2.0,7.86,0,0.57,0.6,0.030000000000000027
162,298,99,1,1.5,3.0,7.46,0,0.53,0.6,0.06999999999999995
163,318,109,3,3.0,3.0,8.5,0,0.67,0.88,0.20999999999999996
164,317,105,3,3.5,3.0,8.56,0,0.68,0.88,0.19999999999999996
165,329,111,4,4.5,4.0,9.01,1,0.81,0.89,0.07999999999999996
166,322,110,5,4.5,4.0,8.97,0,0.78,0.89,0.10999999999999999
167,302,102,3,3.5,5.0,8.33,0,0.65,0.88,0.22999999999999998
168,313,102,3,2.0,3.0,8.27,0,0.64,0.61,0.030000000000000027
169,293,97,2,2.0,4.0,7.8,1,0.64,0.58,0.06000000000000005
170,311,99,2,2.5,3.0,7.98,0,0.65,0.68,0.030000000000000027
171,312,101,2,2.5,3.5,8.04,1,0.68,0.68,0.0
172,334,117,5,4.0,4.5,9.07,1,0.89,0.89,0.0
173,322,110,4,4.0,5.0,9.13,1,0.86,0.89,0.030000000000000027
174,323,113,4,4.0,4.5,9.23,1,0.89,0.89,0.0
175,321,111,4,4.0,4.0,8.97,1,0.87,0.89,0.020000000000000018
176,320,111,4,4.5,3.5,8.87,1,0.85,0.89,0.040000000000000036
177,329,119,4,4.5,4.5,9.16,1,0.9,0.89,0.010000000000000009
178,319,110,3,3.5,3.5,9.04,0,0.82,0.89,0.07000000000000006
179,309,108,3,2.5,3.0,8.12,0,0.72,0.69,0.030000000000000027
180,307,102,3,3.0,3.0,8.27,0,0.73,0.87,0.14
181,300,104,3,3.5,3.0,8.16,0,0.71,0.87,0.16000000000000003
182,305,107,2,2.5,2.5,8.42,0,0.71,0.7,0.010000000000000009
183,299,100,2,3.0,3.5,7.88,0,0.68,0.86,0.17999999999999994
184,314,110,3,4.0,4.0,8.8,0,0.75,0.88,0.13
185,316,106,2,2.5,4.0,8.32,0,0.72,0.7,0.020000000000000018
186,327,113,4,4.5,4.5,9.11,1,0.89,0.89,0.0
187,317,107,3,3.5,3.0,8.68,1,0.84,0.88,0.040000000000000036
188,335,118,5,4.5,3.5,9.44,1,0.93,0.89,0.040000000000000036
189,331,115,5,4.5,3.5,9.36,1,0.93,0.89,0.040000000000000036
190,324,112,5,5.0,5.0,9.08,1,0.88,0.89,0.010000000000000009
191,324,111,5,4.5,4.0,9.16,1,0.9,0.89,0.010000000000000009
192,323,110,5,4.0,5.0,8.98,1,0.87,0.89,0.020000000000000018
193,322,114,5,4.5,4.0,8.94,1,0.86,0.89,0.030000000000000027
194,336,118,5,4.5,5.0,9.53,1,0.94,0.89,0.04999999999999993
195,316,109,3,3.5,3.0,8.76,0,0.77,0.88,0.10999999999999999
196,307,107,2,3.0,3.5,8.52,1,0.78,0.88,0.09999999999999998
197,306,105,2,3.0,2.5,8.26,0,0.73,0.7,0.030000000000000027
198,310,106,2,3.5,2.5,8.33,0,0.73,0.7,0.030000000000000027
199,311,104,3,4.5,4.5,8.43,0,0.7,0.88,0.18000000000000005
200,313,107,3,4.0,4.5,8.69,0,0.72,0.88,0.16000000000000003
201,317,103,3,2.5,3.0,8.54,1,0.73,0.71,0.020000000000000018
202,315,110,2,3.5,3.0,8.46,1,0.72,0.88,0.16000000000000003
203,340,120,5,4.5,4.5,9.91,1,0.97,0.89,0.07999999999999996
204,334,120,5,4.0,5.0,9.87,1,0.97,0.89,0.07999999999999996
205,298,105,3,3.5,4.0,8.54,0,0.69,0.88,0.19000000000000006
206,295,99,2,2.5,3.0,7.65,0,0.57,0.65,0.08000000000000007
207,315,99,2,3.5,3.0,7.89,0,0.63,0.86,0.22999999999999998
208,310,102,3,3.5,4.0,8.02,1,0.66,0.87,0.20999999999999996
209,305,106,2,3.0,3.0,8.16,0,0.64,0.87,0.22999999999999998
210,301,104,3,3.5,4.0,8.12,1,0.68,0.87,0.18999999999999995
211,325,108,4,4.5,4.0,9.06,1,0.79,0.89,0.09999999999999998
212,328,110,4,5.0,4.0,9.14,1,0.82,0.89,0.07000000000000006
213,338,120,4,5.0,5.0,9.66,1,0.95,0.89,0.05999999999999994
214,333,119,5,5.0,4.5,9.78,1,0.96,0.89,0.06999999999999995
215,331,117,4,4.5,5.0,9.42,1,0.94,0.89,0.04999999999999993
216,330,116,5,5.0,4.5,9.36,1,0.93,0.89,0.040000000000000036
217,322,112,4,4.5,4.5,9.26,1,0.91,0.89,0.020000000000000018
218,321,109,4,4.0,4.0,9.13,1,0.85,0.89,0.040000000000000036
219,324,110,4,3.0,3.5,8.97,1,0.84,0.89,0.050000000000000044
220,312,104,3,3.5,3.5,8.42,0,0.74,0.88,0.14
221,313,103,3,4.0,4.0,8.75,0,0.76,0.88,0.12
222,316,110,3,3.5,4.0,8.56,0,0.75,0.88,0.13
223,324,113,4,4.5,4.0,8.79,0,0.76,0.88,0.12
224,308,109,2,3.0,4.0,8.45,0,0.71,0.88,0.17000000000000004
225,305,105,2,3.0,2.0,8.23,0,0.67,0.61,0.06000000000000005
226,296,99,2,2.5,2.5,8.03,0,0.61,0.68,0.07000000000000006
227,306,110,2,3.5,4.0,8.45,0,0.63,0.88,0.25
228,312,110,2,3.5,3.0,8.53,0,0.64,0.88,0.24
229,318,112,3,4.0,3.5,8.67,0,0.71,0.88,0.17000000000000004
230,324,111,4,3.0,3.0,9.01,1,0.82,0.89,0.07000000000000006
231,313,104,3,4.0,4.5,8.65,0,0.73,0.88,0.15000000000000002
232,319,106,3,3.5,2.5,8.33,1,0.74,0.7,0.040000000000000036
233,312,107,2,2.5,3.5,8.27,0,0.69,0.7,0.010000000000000009
234,304,100,2,2.5,3.5,8.07,0,0.64,0.68,0.040000000000000036
235,330,113,5,5.0,4.0,9.31,1,0.91,0.89,0.020000000000000018
236,326,111,5,4.5,4.0,9.23,1,0.88,0.89,0.010000000000000009
237,325,112,4,4.0,4.5,9.17,1,0.85,0.89,0.040000000000000036
238,329,114,5,4.5,5.0,9.19,1,0.86,0.89,0.030000000000000027
239,310,104,3,2.0,3.5,8.37,0,0.7,0.61,0.08999999999999997
240,299,100,1,1.5,2.0,7.89,0,0.59,0.6,0.010000000000000009
241,296,101,1,2.5,3.0,7.68,0,0.6,0.73,0.13
242,317,103,2,2.5,2.0,8.15,0,0.65,0.6,0.050000000000000044
243,324,115,3,3.5,3.0,8.76,1,0.7,0.88,0.18000000000000005
244,325,114,3,3.5,3.0,9.04,1,0.76,0.89,0.13
245,314,107,2,2.5,4.0,8.56,0,0.63,0.71,0.07999999999999996
246,328,110,4,4.0,2.5,9.02,1,0.81,0.73,0.08000000000000007
247,316,105,3,3.0,3.5,8.73,0,0.72,0.88,0.16000000000000003
248,311,104,2,2.5,3.5,8.48,0,0.71,0.71,0.0
249,324,110,3,3.5,4.0,8.87,1,0.8,0.89,0.08999999999999997
250,321,111,3,3.5,4.0,8.83,1,0.77,0.89,0.12
251,320,104,3,3.0,2.5,8.57,1,0.74,0.71,0.030000000000000027
252,316,99,2,2.5,3.0,9.0,0,0.7,0.72,0.020000000000000018
253,318,100,2,2.5,3.5,8.54,1,0.71,0.71,0.0
254,335,115,4,4.5,4.5,9.68,1,0.93,0.89,0.040000000000000036
255,321,114,4,4.0,5.0,9.12,0,0.85,0.89,0.040000000000000036
256,307,110,4,4.0,4.5,8.37,0,0.79,0.88,0.08999999999999997
257,309,99,3,4.0,4.0,8.56,0,0.76,0.88,0.12
258,324,100,3,4.0,5.0,8.64,1,0.78,0.88,0.09999999999999998
259,326,102,4,5.0,5.0,8.76,1,0.77,0.88,0.10999999999999999
260,331,119,4,5.0,4.5,9.34,1,0.9,0.89,0.010000000000000009
261,327,108,5,5.0,3.5,9.13,1,0.87,0.89,0.020000000000000018
262,312,104,3,3.5,4.0,8.09,0,0.71,0.87,0.16000000000000003
263,308,103,2,2.5,4.0,8.36,1,0.7,0.7,0.0
264,324,111,3,2.5,1.5,8.79,1,0.7,0.59,0.10999999999999999
265,325,110,2,3.0,2.5,8.76,1,0.75,0.72,0.030000000000000027
266,313,102,3,2.5,2.5,8.68,0,0.71,0.71,0.0
267,312,105,2,2.0,2.5,8.45,0,0.72,0.62,0.09999999999999998
268,314,107,3,3.0,3.5,8.17,1,0.73,0.87,0.14
269,327,113,4,4.5,5.0,9.14,0,0.83,0.89,0.06000000000000005
270,308,108,4,4.5,5.0,8.34,0,0.77,0.88,0.10999999999999999
271,306,105,2,2.5,3.0,8.22,1,0.72,0.69,0.030000000000000027
272,299,96,2,1.5,2.0,7.86,0,0.54,0.53,0.010000000000000009
273,294,95,1,1.5,1.5,7.64,0,0.49,0.6,0.10999999999999999
274,312,99,1,1.0,1.5,8.01,1,0.52,0.58,0.05999999999999994
275,315,100,1,2.0,2.5,7.95,0,0.58,0.65,0.07000000000000006
276,322,110,3,3.5,3.0,8.96,1,0.78,0.89,0.10999999999999999
277,329,113,5,5.0,4.5,9.45,1,0.89,0.89,0.0
278,320,101,2,2.5,3.0,8.62,0,0.7,0.71,0.010000000000000009
279,308,103,2,3.0,3.5,8.49,0,0.66,0.88,0.21999999999999997
280,304,102,2,3.0,4.0,8.73,0,0.67,0.88,0.20999999999999996
281,311,102,3,4.5,4.0,8.64,1,0.68,0.88,0.19999999999999996
282,317,110,3,4.0,4.5,9.11,1,0.8,0.89,0.08999999999999997
283,312,106,3,4.0,3.5,8.79,1,0.81,0.88,0.06999999999999995
284,321,111,3,2.5,3.0,8.9,1,0.8,0.72,0.08000000000000007
285,340,112,4,5.0,4.5,9.66,1,0.94,0.89,0.04999999999999993
286,331,116,5,4.0,4.0,9.26,1,0.93,0.89,0.040000000000000036
287,336,118,5,4.5,4.0,9.19,1,0.92,0.89,0.030000000000000027
288,324,114,5,5.0,4.5,9.08,1,0.89,0.89,0.0
289,314,104,4,5.0,5.0,9.02,0,0.82,0.89,0.07000000000000006
290,313,109,3,4.0,3.5,9.0,0,0.79,0.89,0.09999999999999998
291,307,105,2,2.5,3.0,7.65,0,0.58,0.65,0.07000000000000006
292,300,102,2,1.5,2.0,7.87,0,0.56,0.53,0.030000000000000027
293,302,99,2,1.0,2.0,7.97,0,0.56,0.51,0.050000000000000044
294,312,98,1,3.5,3.0,8.18,1,0.64,0.89,0.25
295,316,101,2,2.5,2.0,8.32,1,0.61,0.61,0.0
296,317,100,2,3.0,2.5,8.57,0,0.68,0.71,0.029999999999999916
297,310,107,3,3.5,3.5,8.67,0,0.76,0.88,0.12
298,320,120,3,4.0,4.5,9.11,0,0.86,0.89,0.030000000000000027
299,330,114,3,4.5,4.5,9.24,1,0.9,0.89,0.010000000000000009
300,305,112,3,3.0,3.5,8.65,0,0.71,0.88,0.17000000000000004
301,309,106,2,2.5,2.5,8.0,0,0.62,0.68,0.06000000000000005
302,319,108,2,2.5,3.0,8.76,0,0.66,0.72,0.05999999999999994
303,322,105,2,3.0,3.0,8.45,1,0.65,0.88,0.22999999999999998
304,323,107,3,3.5,3.5,8.55,1,0.73,0.88,0.15000000000000002
305,313,106,2,2.5,2.0,8.43,0,0.62,0.62,0.0
306,321,109,3,3.5,3.5,8.8,1,0.74,0.88,0.14
307,323,110,3,4.0,3.5,9.1,1,0.79,0.89,0.09999999999999998
308,325,112,4,4.0,4.0,9.0,1,0.8,0.89,0.08999999999999997
309,312,108,3,3.5,3.0,8.53,0,0.69,0.88,0.19000000000000006
310,308,110,4,3.5,3.0,8.6,0,0.7,0.88,0.18000000000000005
311,320,104,3,3.0,3.5,8.74,1,0.76,0.88,0.12
312,328,108,4,4.5,4.0,9.18,1,0.84,0.89,0.050000000000000044
313,311,107,4,4.5,4.5,9.0,1,0.78,0.89,0.10999999999999999
314,301,100,3,3.5,3.0,8.04,0,0.67,0.87,0.19999999999999996
315,305,105,2,3.0,4.0,8.13,0,0.66,0.87,0.20999999999999996
316,308,104,2,2.5,3.0,8.07,0,0.65,0.68,0.030000000000000027
317,298,101,2,1.5,2.0,7.86,0,0.54,0.53,0.010000000000000009
318,300,99,1,1.0,2.5,8.01,0,0.58,0.58,0.0
319,324,111,3,2.5,2.0,8.8,1,0.79,0.64,0.15000000000000002
320,327,113,4,3.5,3.0,8.69,1,0.8,0.88,0.07999999999999996
321,317,106,3,4.0,3.5,8.5,1,0.75,0.88,0.13
322,323,104,3,4.0,4.0,8.44,1,0.73,0.88,0.15000000000000002
323,314,107,2,2.5,4.0,8.27,0,0.72,0.7,0.020000000000000018
324,305,102,2,2.0,2.5,8.18,0,0.62,0.6,0.020000000000000018
325,315,104,3,3.0,2.5,8.33,0,0.67,0.7,0.029999999999999916
326,326,116,3,3.5,4.0,9.14,1,0.81,0.89,0.07999999999999996
327,299,100,3,2.0,2.0,8.02,0,0.63,0.59,0.040000000000000036
328,295,101,2,2.5,2.0,7.86,0,0.69,0.58,0.10999999999999999
329,324,112,4,4.0,3.5,8.77,1,0.8,0.88,0.07999999999999996
330,297,96,2,2.5,1.5,7.89,0,0.43,0.53,0.10000000000000003
331,327,113,3,3.5,3.0,8.66,1,0.8,0.88,0.07999999999999996
332,311,105,2,3.0,2.0,8.12,1,0.73,0.6,0.13
333,308,106,3,3.5,2.5,8.21,1,0.75,0.69,0.06000000000000005
334,319,108,3,3.0,3.5,8.54,1,0.71,0.88,0.17000000000000004
335,312,107,4,4.5,4.0,8.65,1,0.73,0.88,0.15000000000000002
336,325,111,4,4.0,4.5,9.11,1,0.83,0.89,0.06000000000000005
337,319,110,3,3.0,2.5,8.79,0,0.72,0.72,0.0
338,332,118,5,5.0,5.0,9.47,1,0.94,0.89,0.04999999999999993
339,323,108,5,4.0,4.0,8.74,1,0.81,0.88,0.06999999999999995
340,324,107,5,3.5,4.0,8.66,1,0.81,0.88,0.06999999999999995
341,312,107,3,3.0,3.0,8.46,1,0.75,0.88,0.13
342,326,110,3,3.5,3.5,8.76,1,0.79,0.88,0.08999999999999997
343,308,106,3,3.0,3.0,8.24,0,0.58,0.87,0.29000000000000004
344,305,103,2,2.5,3.5,8.13,0,0.59,0.69,0.09999999999999998
345,295,96,2,1.5,2.0,7.34,0,0.47,0.51,0.040000000000000036
346,316,98,1,1.5,2.0,7.43,0,0.49,0.6,0.10999999999999999
347,304,97,2,1.5,2.0,7.64,0,0.47,0.51,0.040000000000000036
348,299,94,1,1.0,1.0,7.34,0,0.42,0.58,0.15999999999999998
349,302,99,1,2.0,2.0,7.25,0,0.57,0.65,0.08000000000000007
350,313,101,3,2.5,3.0,8.04,0,0.62,0.68,0.06000000000000005
351,318,107,3,3.0,3.5,8.27,1,0.74,0.87,0.13
352,325,110,4,3.5,4.0,8.67,1,0.73,0.88,0.15000000000000002
353,303,100,2,3.0,3.5,8.06,1,0.64,0.87,0.22999999999999998
354,300,102,3,3.5,2.5,8.17,0,0.63,0.69,0.05999999999999994
355,297,98,2,2.5,3.0,7.67,0,0.59,0.66,0.07000000000000006
356,317,106,2,2.0,3.5,8.12,0,0.73,0.6,0.13
357,327,109,3,3.5,4.0,8.77,1,0.79,0.88,0.08999999999999997
358,301,104,2,3.5,3.5,7.89,1,0.68,0.86,0.17999999999999994
359,314,105,2,2.5,2.0,7.64,0,0.7,0.56,0.1399999999999999
360,321,107,2,2.0,1.5,8.44,0,0.81,0.57,0.2400000000000001
361,322,110,3,4.0,5.0,8.64,1,0.85,0.88,0.030000000000000027
362,334,116,4,4.0,3.5,9.54,1,0.93,0.89,0.040000000000000036
363,338,115,5,4.5,5.0,9.23,1,0.91,0.89,0.020000000000000018
364,306,103,2,2.5,3.0,8.36,0,0.69,0.7,0.010000000000000009
365,313,102,3,3.5,4.0,8.9,1,0.77,0.89,0.12
